prediction,test_price
71.86,85.51
72.02,86.86
73.51,101.0
72.31,107.85
78.22,105.63
84.19,102.87
87.19,100.43
88.81,104.8
87.81,96.31
88.65,90.89
85.62,96.0
82.53,103.25
83.26,109.09
85.43,109.77
90.69,114.6
92.7,130.19
97.41,141.98
104.39,145.97
112.13,149.04
118.68,150.78
125.27,149.27
129.67,137.34
129.9,146.42
126.12,141.13
129.27,145.03
126.05,159.75
126.16,153.82
131.94,160.1
133.08,156.38
136.31,140.26
135.42,152.24
128.48,153.64
128.51,156.52
130.3,156.01
130.86,163.88
131.65,162.26
134.67,161.88
134.68,158.19
133.43,160.67
132.36,159.83
131.87,162.73
132.52,161.6
132.54,163.11
133.59,165.52
134.24,163.38
134.56,163.77
133.59,164.05
131.88,161.16
130.54,167.0
129.85,179.62
130.31,176.31
136.08,176.59
139.57,172.88
141.76,177.13
141.42,189.98
143.91,188.13
148.16,205.01
150.53,194.57
159.33,187.06
161.12,198.18
159.61,196.43
160.91,198.36
161.76,200.79
159.87,200.18
162.26,198.86
163.53,200.36
160.66,192.17
163.14,197.2
160.06,191.95
160.37,201.87
159.78,215.96
161.17,223.93
169.18,241.73
175.01,274.32
185.04,277.97
200.28,273.18
209.31,278.86
210.51,308.93
213.11,299.41
224.84,303.36
229.13,309.2
232.56,300.13
237.54,300.17
236.63,328.6
234.96,313.67
241.31,318.47
241.02,302.61
242.01,283.4
235.67,307.92
224.97,295.3
230.04,299.82
225.95,297.5
225.96,286.15
221.99,297.0
218.23,297.4
219.3,297.0
219.28,297.92
218.79,290.54
219.37,283.71
215.42,274.88
207.03,310.95
204.42,324.2
213.7,330.14
223.82,367.13
232.85,377.42
245.89,375.71
256.54,400.37
265.3,410.0
271.81,402.84
280.93,404.67
283.7,430.63
284.83,447.75
291.0,442.68
303.59,498.32
306.57,475.05
323.48,447.37
323.57,407.0
317.05,418.32
298.37,330.21
294.69,366.28
263.39,371.34
257.13,372.72
255.41,419.62
248.61,449.76
262.62,441.76
280.08,423.43
285.21,442.15
281.16,449.39
283.17,424.23
284.34,380.36
282.64,387.79
265.9,407.34
261.82,421.2
261.05,419.07
264.29,429.01
261.9,448.16
266.04,415.09
268.17,425.68
264.43,413.98
260.48,425.3
255.71,425.92
259.74,434.0
261.36,442.3
262.88,446.65
270.68,461.3
271.75,448.88
271.92,439.67
270.86,430.83
267.86,421.94
263.18,422.64
257.69,425.79
258.15,420.63
254.59,420.28
254.37,424.68
253.74,406.02
251.19,410.83
250.46,388.04
247.14,400.51
235.74,423.9
233.24,420.98
242.11,438.09
245.72,429.95
251.28,421.26
249.98,410.36
247.74,417.13
244.9,411.76
241.64,408.5
237.78,408.09
234.1,441.61
229.77,486.64
236.77,499.27
250.76,489.61
260.62,521.85
263.39,555.38
273.47,574.0
289.51,585.76
303.77,567.6
313.18,584.76
316.68,568.82
321.16,593.38
318.27,599.04
318.29,641.76
322.81,649.88
330.95,604.48
336.12,627.07
332.23,609.99
328.03,639.83
330.77,633.25
336.76,622.77
330.21,655.9
